2022-08-20 08:02:40.070  INFO [authorizationService,4577cebaf6e3876c,ec6fbbd537b0a3ce] 8812 --- [http-nio-9090-exec-1] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:40.077  INFO [authorizationService,4577cebaf6e3876c,ec6fbbd537b0a3ce] 8812 --- [http-nio-9090-exec-1] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:40.390  INFO [authorizationService,3733cad88befc8fa,cb86b1190d7f1688] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:40.393  INFO [authorizationService,3733cad88befc8fa,cb86b1190d7f1688] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:40.401  INFO [authorizationService,3733cad88befc8fa,cb86b1190d7f1688] 8812 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:40.403  INFO [authorizationService,3733cad88befc8fa,cb86b1190d7f1688] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:40.408  INFO [authorizationService,3733cad88befc8fa,cb86b1190d7f1688] 8812 --- [http-nio-9090-exec-2] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:40.413  INFO [authorizationService,3733cad88befc8fa,cb86b1190d7f1688] 8812 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:51.097  INFO [authorizationService,dcc5cd02621ae2a8,5d6e14637cb0b4de] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:51.103  INFO [authorizationService,dcc5cd02621ae2a8,5d6e14637cb0b4de] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:51.112  INFO [authorizationService,dcc5cd02621ae2a8,5d6e14637cb0b4de] 8812 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:51.116  INFO [authorizationService,dcc5cd02621ae2a8,5d6e14637cb0b4de] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:51.122  INFO [authorizationService,dcc5cd02621ae2a8,5d6e14637cb0b4de] 8812 --- [http-nio-9090-exec-5] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:51.131  INFO [authorizationService,dcc5cd02621ae2a8,5d6e14637cb0b4de] 8812 --- [http-nio-9090-exec-5] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:02:51.380  INFO [authorizationService,e04289ee58c7205a,32e771ba2fa92f97] 8812 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:51.384  INFO [authorizationService,e04289ee58c7205a,32e771ba2fa92f97] 8812 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:51.392  INFO [authorizationService,e04289ee58c7205a,32e771ba2fa92f97] 8812 --- [http-nio-9090-exec-6] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:02:51.396  INFO [authorizationService,e04289ee58c7205a,32e771ba2fa92f97] 8812 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:02:51.399  INFO [authorizationService,e04289ee58c7205a,32e771ba2fa92f97] 8812 --- [http-nio-9090-exec-6] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:02:51.402  INFO [authorizationService,e04289ee58c7205a,32e771ba2fa92f97] 8812 --- [http-nio-9090-exec-6] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:08:59.714  INFO [authorizationService,b1b95aa4baa6756b,6fc12eb1926ba187] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:08:59.720  INFO [authorizationService,b1b95aa4baa6756b,6fc12eb1926ba187] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:08:59.729  INFO [authorizationService,b1b95aa4baa6756b,6fc12eb1926ba187] 8812 --- [http-nio-9090-exec-10] c.c.controller.AuthorizationController   : STARTED - authorization
2022-08-20 08:08:59.732  INFO [authorizationService,b1b95aa4baa6756b,6fc12eb1926ba187] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:08:59.736  INFO [authorizationService,b1b95aa4baa6756b,6fc12eb1926ba187] 8812 --- [http-nio-9090-exec-10] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-08-20 08:08:59.742  INFO [authorizationService,b1b95aa4baa6756b,6fc12eb1926ba187] 8812 --- [http-nio-9090-exec-10] c.c.controller.AuthorizationController   : END - authorization
2022-08-20 08:09:00.035  INFO [authorizationService,6b31014ed33ddec2,2852f1fe39320bdb] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-08-20 08:09:00.040  INFO [authorizationService,6b31014ed33ddec2,2852f1fe39320bdb] 8812 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
